model,setting,quantity,coeff,step,value
SA,cap1600,GP2,CDp,22,8.142665e-05
SA,cap1600,GP2,CDp,23,9.410979e-05
SA,cap1600,GP2,CDp,24,9.657214e-05
SA,cap1600,GP2,CDp,25,9.099151e-05
SA,cap1600,GP2,CDp,26,7.741888e-05
SA,cap1600,GP2,CDp,27,6.953643e-05
SA,cap1600,GP2,CDp,28,7.160206e-05
SA,cap1600,GP2,CDp,29,7.816083e-05
SA,cap1600,GP2,CDp,30,7.100486e-05
SA,cap1600,GP2,CDp,31,8.076967e-05
SA,cap1600,GP2,CDp,32,8.079395e-05
SA,cap1600,GP2,CDp,33,8.405749e-05
SA,cap1600,GP2,CDp,34,8.710367e-05
SA,cap1600,GP2,CDp,35,9.525180e-05
SA,cap1600,GP2,CDp,36,1.048208e-04
SA,cap1600,GP2,CDp,37,1.095461e-04
SA,cap1600,GP2,CDp,38,1.064549e-04
SA,cap1600,GP2,CDp,39,9.506591e-05
SA,cap1600,GP2,CDv,2,0.000000e+00
SA,cap1600,GP2,CDv,3,0.000000e+00
SA,cap1600,GP2,CDv,4,0.000000e+00
SA,cap1600,GP2,CDv,5,0.000000e+00
SA,cap1600,GP2,CDv,6,0.000000e+00
SA,cap1600,GP2,CDv,7,0.000000e+00
SA,cap1600,GP2,CDv,8,0.000000e+00
SA,cap1600,GP2,CDv,9,0.000000e+00
SA,cap1600,GP2,CDv,10,5.453511e-08
SA,cap1600,GP2,CDv,11,1.005105e-07
SA,cap1600,GP2,CDv,12,1.210290e-07
SA,cap1600,GP2,CDv,13,1.065573e-07
SA,cap1600,GP2,CDv,14,6.958959e-08
SA,cap1600,GP2,CDv,15,3.566876e-08
SA,cap1600,GP2,CDv,16,1.570902e-09
SA,cap1600,GP2,CDv,17,-2.548411e-08
SA,cap1600,GP2,CDv,18,-4.671855e-08
SA,cap1600,GP2,CDv,19,-6.711713e-08
SA,cap1600,GP2,CDv,20,-1.020133e-07
SA,cap1600,GP2,CDv,21,-6.607821e-08
SA,cap1600,GP2,CDv,22,-4.552257e-09
SA,cap1600,GP2,CDv,23,8.260614e-08
SA,cap1600,GP2,CDv,24,1.971723e-07
SA,cap1600,GP2,CDv,25,3.183947e-07
SA,cap1600,GP2,CDv,26,4.110613e-07
SA,cap1600,GP2,CDv,27,4.894628e-07
SA,cap1600,GP2,CDv,28,5.433777e-07
SA,cap1600,GP2,CDv,29,5.818713e-07
