case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.708728,0.035785,2.296081e-03,2.296081e-03,-2.067046e-01,-2.067046e-01,1.0152,1.0152
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.714306,0.035233,2.275531e-03,2.275531e-03,-2.010530e-01,-2.010530e-01,1.0107,1.0107
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.719845,0.034681,2.254845e-03,2.254845e-03,-1.954309e-01,-1.954309e-01,1.0062,1.0062
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.725345,0.034129,2.234261e-03,2.234261e-03,-1.898349e-01,-1.898349e-01,1.0016,1.0016
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.730807,0.033576,2.213725e-03,2.213725e-03,-1.842632e-01,-1.842632e-01,0.9970,0.9970
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.736231,0.033024,2.193191e-03,2.193191e-03,-1.787136e-01,-1.787136e-01,0.9924,0.9924
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.741618,0.032471,2.172648e-03,2.172648e-03,-1.731838e-01,-1.731838e-01,0.9878,0.9878
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.746967,0.031918,2.152088e-03,2.152088e-03,-1.676718e-01,-1.676718e-01,0.9832,0.9832
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.752278,0.031366,2.131502e-03,2.131502e-03,-1.621755e-01,-1.621755e-01,0.9785,0.9785
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.757553,0.030813,2.110885e-03,2.110885e-03,-1.566928e-01,-1.566928e-01,0.9738,0.9738
