setting,quantity,coeff,step,value
L1,GP2,CD,38,-1.570524e-05
L1,GP2,CD,39,-8.364767e-06
L1,GP2,CDp,2,0.000000e+00
L1,GP2,CDp,3,0.000000e+00
L1,GP2,CDp,4,0.000000e+00
L1,GP2,CDp,5,0.000000e+00
L1,GP2,CDp,6,0.000000e+00
L1,GP2,CDp,7,0.000000e+00
L1,GP2,CDp,8,0.000000e+00
L1,GP2,CDp,9,0.000000e+00
L1,GP2,CDp,10,1.404050e-05
L1,GP2,CDp,11,6.864753e-07
L1,GP2,CDp,12,-1.810265e-06
L1,GP2,CDp,13,2.430077e-07
L1,GP2,CDp,14,2.805483e-06
L1,GP2,CDp,15,4.791127e-06
L1,GP2,CDp,16,6.620616e-06
L1,GP2,CDp,17,7.955285e-06
L1,GP2,CDp,18,7.477563e-06
L1,GP2,CDp,19,5.009626e-06
L1,GP2,CDp,20,5.312176e-06
L1,GP2,CDp,21,1.764313e-05
L1,GP2,CDp,22,4.093063e-06
L1,GP2,CDp,23,-2.135444e-07
L1,GP2,CDp,24,3.975026e-07
L1,GP2,CDp,25,4.029720e-06
L1,GP2,CDp,26,8.038235e-06
L1,GP2,CDp,27,1.177172e-05
L1,GP2,CDp,28,1.693027e-05
L1,GP2,CDp,29,2.400915e-05
L1,GP2,CDp,30,1.509659e-05
L1,GP2,CDp,31,-1.117154e-05
L1,GP2,CDp,32,-1.286531e-05
L1,GP2,CDp,33,-2.641810e-05
L1,GP2,CDp,34,-2.922466e-05
L1,GP2,CDp,35,-2.713492e-05
L1,GP2,CDp,36,-2.468613e-05
L1,GP2,CDp,37,-2.109313e-05
L1,GP2,CDp,38,-1.529458e-05
L1,GP2,CDp,39,-7.874658e-06
L1,GP2,CDv,2,0.000000e+00
L1,GP2,CDv,3,0.000000e+00
L1,GP2,CDv,4,0.000000e+00
L1,GP2,CDv,5,0.000000e+00
L1,GP2,CDv,6,0.000000e+00
L1,GP2,CDv,7,0.000000e+00
L1,GP2,CDv,8,0.000000e+00
L1,GP2,CDv,9,0.000000e+00
L1,GP2,CDv,10,5.055473e-09
L1,GP2,CDv,11,1.955733e-09
L1,GP2,CDv,12,-5.806722e-10
L1,GP2,CDv,13,-1.881442e-09
L1,GP2,CDv,14,-1.859608e-09
L1,GP2,CDv,15,-1.047012e-09
L1,GP2,CDv,16,9.556348e-11
L1,GP2,CDv,17,1.171388e-09
L1,GP2,CDv,18,1.925629e-09
L1,GP2,CDv,19,2.359012e-09
L1,GP2,CDv,20,3.223752e-08
L1,GP2,CDv,21,1.791141e-08
L1,GP2,CDv,22,9.503677e-09
L1,GP2,CDv,23,4.723289e-09
L1,GP2,CDv,24,-7.817657e-11
L1,GP2,CDv,25,-4.817962e-09
L1,GP2,CDv,26,-8.996108e-09
L1,GP2,CDv,27,-1.272749e-08
L1,GP2,CDv,28,-1.644316e-08
L1,GP2,CDv,29,-2.135700e-08
L1,GP2,CDv,30,1.864690e-07
L1,GP2,CDv,31,8.305221e-08
L1,GP2,CDv,32,-1.683850e-08
L1,GP2,CDv,33,-8.573655e-08
L1,GP2,CDv,34,-1.453056e-07
L1,GP2,CDv,35,-2.042898e-07
L1,GP2,CDv,36,-2.678856e-07
L1,GP2,CDv,37,-3.377166e-07
L1,GP2,CDv,38,-4.131892e-07
L1,GP2,CDv,39,-4.931365e-07
L1,NN2,CL,2,0.000000e+00
L1,NN2,CL,3,0.000000e+00
L1,NN2,CL,4,0.000000e+00
L1,NN2,CL,5,0.000000e+00
L1,NN2,CL,6,0.000000e+00
L1,NN2,CL,7,0.000000e+00
L1,NN2,CL,8,0.000000e+00
L1,NN2,CL,9,0.000000e+00
L1,NN2,CL,10,2.214650e-05
L1,NN2,CL,11,2.495480e-05
L1,NN2,CL,12,3.429470e-05
L1,NN2,CL,13,4.063860e-05
L1,NN2,CL,14,4.415790e-05
L1,NN2,CL,15,5.630200e-05
L1,NN2,CL,16,7.894630e-05
L1,NN2,CL,17,9.852410e-05
L1,NN2,CL,18,9.866720e-05
L1,NN2,CL,19,7.550920e-05
L1,NN2,CL,20,4.621000e-05
L1,NN2,CL,21,1.040370e-05
L1,NN2,CL,22,-4.615390e-05
L1,NN2,CL,23,-6.728390e-05
