case,model,step,which,field,src_integral,tgt_integral,rel_defect_(tgt-src)/src,src_change_since_prev_event
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,139,state,Nu_Tilde,1.588959877614e-03,1.588959873879e-03,-2.350e-09,-7.116e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,148,bdf2_level,Density,3.136378599923e+04,3.136378599923e+04,-9.975e-14,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,148,bdf2_level,Momentum_x,3.119235058101e+03,3.119235058100e+03,-8.966e-14,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,148,bdf2_level,Momentum_y,3.275320558380e+02,3.275320558415e+02,1.068e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,148,bdf2_level,Energy,5.616358237618e+04,5.616358237617e+04,-1.748e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,148,bdf2_level,Nu_Tilde,1.588959453874e-03,1.588959458044e-03,2.624e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,149,state,Density,3.136378599923e+04,3.136378599923e+04,-1.056e-13,4.042e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,149,state,Momentum_x,3.119235058028e+03,3.119235058028e+03,-1.458e-14,-2.325e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,149,state,Momentum_y,3.275320556736e+02,3.275320556777e+02,1.233e-11,-7.208e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,149,state,Energy,5.616358237619e+04,5.616358237618e+04,-1.692e-13,6.735e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,149,state,Nu_Tilde,1.588959418115e-03,1.588959422237e-03,2.594e-09,-2.892e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,158,bdf2_level,Density,3.136378599927e+04,3.136378599926e+04,-2.922e-13,
