lag,d005,d010_SF2,d010,d020_long,d020
116,8.935120000000e-05,1.226295000000e-04,6.144270000000e-05,-1.660000000000e-05,-4.236260000000e-05
117,8.947300000000e-05,1.227043000000e-04,6.152560000000e-05,-1.662830000000e-05,-4.247690000000e-05
118,8.959170000000e-05,1.227709000000e-04,6.160620000000e-05,-1.665590000000e-05,-4.258240000000e-05
119,8.971280000000e-05,1.228351000000e-04,6.168500000000e-05,-1.668440000000e-05,-4.268150000000e-05
120,8.984110000000e-05,1.229032000000e-04,6.176320000000e-05,-1.671540000000e-05,-4.277760000000e-05
121,8.997940000000e-05,1.229806000000e-04,6.184240000000e-05,-1.675080000000e-05,-4.287460000000e-05
122,9.012730000000e-05,1.230709000000e-04,6.192400000000e-05,-1.679160000000e-05,-4.297650000000e-05
123,9.028220000000e-05,1.231751000000e-04,6.200900000000e-05,-1.683810000000e-05,-4.308560000000e-05
124,9.043950000000e-05,1.232911000000e-04,6.209720000000e-05,-1.688950000000e-05,-4.320290000000e-05
125,9.059490000000e-05,1.234147000000e-04,6.218770000000e-05,-1.694390000000e-05,-4.332740000000e-05
126,9.074500000000e-05,1.235398000000e-04,6.227820000000e-05,-1.699870000000e-05,-4.345670000000e-05
127,9.088810000000e-05,1.236600000000e-04,6.236640000000e-05,-1.705160000000e-05,-4.358710000000e-05
128,9.102330000000e-05,1.237690000000e-04,6.244990000000e-05,-1.710060000000e-05,-4.371480000000e-05
129,9.115030000000e-05,1.238626000000e-04,6.252710000000e-05,-1.714470000000e-05,-4.383630000000e-05
130,9.126920000000e-05,1.239389000000e-04,6.259730000000e-05,-1.718380000000e-05,-4.394900000000e-05
131,9.138080000000e-05,1.239982000000e-04,6.266110000000e-05,-1.721850000000e-05,-4.405210000000e-05
132,9.148680000000e-05,1.240438000000e-04,6.271990000000e-05,-1.725020000000e-05,-4.414600000000e-05
133,9.158970000000e-05,1.240805000000e-04,6.277600000000e-05,-1.728070000000e-05,-4.423270000000e-05
134,9.169300000000e-05,1.241143000000e-04,6.283190000000e-05,-1.731200000000e-05,-4.431500000000e-05
135,9.180040000000e-05,1.241515000000e-04,6.288970000000e-05,-1.734580000000e-05,-4.439600000000e-05
136,9.191460000000e-05,1.241971000000e-04,6.295090000000e-05,-1.738320000000e-05,-4.447890000000e-05
137,9.203770000000e-05,1.242550000000e-04,6.301630000000e-05,-1.742510000000e-05,-4.456600000000e-05
138,9.217010000000e-05,1.243272000000e-04,6.308570000000e-05,-1.747090000000e-05,-4.465900000000e-05
139,9.231090000000e-05,1.244137000000e-04,6.315860000000e-05,-1.752000000000e-05,-4.475820000000e-05
140,9.245750000000e-05,1.245126000000e-04,6.323440000000e-05,-1.757100000000e-05,-4.486350000000e-05
141,9.260650000000e-05,1.246203000000e-04,6.331240000000e-05,-1.762270000000e-05,-4.497360000000e-05
142,9.275300000000e-05,1.247319000000e-04,6.339170000000e-05,-1.767430000000e-05,-4.508680000000e-05
143,9.289250000000e-05,1.248418000000e-04,6.347140000000e-05,-1.772510000000e-05,-4.520150000000e-05
144,9.302140000000e-05,1.249444000000e-04,6.355010000000e-05,-1.777430000000e-05,-4.531530000000e-05
145,9.313820000000e-05,1.250353000000e-04,6.362650000000e-05,-1.782120000000e-05,-4.542640000000e-05
146,9.324420000000e-05,1.251115000000e-04,6.369900000000e-05,-1.786540000000e-05,-4.553280000000e-05
147,9.334260000000e-05,1.251722000000e-04,6.376660000000e-05,-1.790620000000e-05,-4.563320000000e-05
148,9.343750000000e-05,1.252186000000e-04,6.382880000000e-05,-1.794380000000e-05,-4.572690000000e-05
149,9.353280000000e-05,1.252541000000e-04,6.388590000000e-05,-1.797850000000e-05,-4.581430000000e-05
150,9.363090000000e-05,1.252831000000e-04,6.393910000000e-05,-1.801150000000e-05,-4.589640000000e-05
151,9.373250000000e-05,1.253105000000e-04,6.399010000000e-05,-1.804410000000e-05,-4.597540000000e-05
152,9.383690000000e-05,1.253405000000e-04,6.404060000000e-05,-1.807770000000e-05,-4.605360000000e-05
153,9.394320000000e-05,1.253765000000e-04,6.409240000000e-05,-1.811350000000e-05,-4.613360000000e-05
