grid,dim,solution,interp_order,method,resolution,n_points,h,field,geom_defect,supermesh_defect
Mixed,2,Discontinuous,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Energy,0.00028608550267651613,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Density,6.452842562075041e-05,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_x,0.0008232937499264021,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_y,0.0008232937499264021,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Energy,0.0001387477998089034,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Density,0.00031046634561102923,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_x,0.0039823611616274755,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_y,0.0039823611616274755,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Energy,0.0006672613716124739,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Density,0.00011869744230419372,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_x,0.00153770469981275,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_y,0.00153770469981275,nan
Mixed,2,Discontinuous,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Energy,0.0002548982672703512,nan
Mixed,2,Discontinuous,SecondOrder,NN,64,6073,0.012832118438741323,Density,0.0009229506841275962,nan
Mixed,2,Discontinuous,SecondOrder,NN,64,6073,0.012832118438741323,Momentum_x,0.01177557831934597,nan
Mixed,2,Discontinuous,SecondOrder,NN,64,6073,0.012832118438741323,Momentum_y,0.01177557831934597,nan
Mixed,2,Discontinuous,SecondOrder,NN,64,6073,0.012832118438741323,Energy,0.001984511097467465,nan
Mixed,2,Discontinuous,SecondOrder,NN,128,24408,0.006400794772021405,Density,7.395328240253726e-05,nan
Mixed,2,Discontinuous,SecondOrder,NN,128,24408,0.006400794772021405,Momentum_x,0.0009486009797027764,nan
Mixed,2,Discontinuous,SecondOrder,NN,128,24408,0.006400794772021405,Momentum_y,0.0009486009797027764,nan
