grid,dim,solution,interp_order,method,resolution,n_points,h,h_nominal,case,ref_source,field,L1,L2,Linf,rel_L1,rel_L2,rel_Linf,order_L2
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_64,reference_file,ALL_FIELDS,273.9186091884757,795.8952653354017,10876.650036212057,0.0011315609303003146,0.0015734559515439544,0.005840766616714528,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_128,reference_file,ALL_FIELDS,69.99516573718466,201.84157920690546,3790.1595833355095,0.00028872201254062635,0.00039837222268364515,0.002035339184684704,1.9725766219407597
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_ConsGalerkinProj_256,reference_file,ALL_FIELDS,16.92560481412035,48.87677852573452,897.1485386444256,6.983814798744491e-05,9.646723938466472e-05,0.0004816986072250163,2.064777578044138
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_NN_64,reference_file,Density,0.0010327726192110248,0.0015434400192529019,0.009679749427588202,0.00042921748746971403,0.0006342639483711139,0.002876620681241401,nan
Mixed,2,Asym,SecondOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_NN_128,reference_file,Density,0.0002530000159122621,0.00037660675864813794,0.003845618738442358,0.00010507544195282462,0.00015464945074699634,0.0011428440174239879,2.0280494223606786
Mixed,2,Asym,SecondOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_NN_256,reference_file,Density,6.294400064566015e-05,9.364393295947917e-05,0.0008200540131722001,2.6148228644982357e-05,3.8460117084555045e-05,0.00024368555735755312,2.0262261898079235
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_NN_64,reference_file,Momentum_x,0.22366870488093715,0.3520876804551972,2.7134889008362393,0.0038772224551160755,0.004507813768601944,0.010027965956700104,nan
Mixed,2,Asym,SecondOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_NN_128,reference_file,Momentum_x,0.0549601865188364,0.08556617144101551,0.8272700823301946,0.0009437384233323985,0.0010908871462538981,0.0030573293038829723,2.033833227358963
Mixed,2,Asym,SecondOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_NN_256,reference_file,Momentum_x,0.013638335929771123,0.02139619435605228,0.2686030260437917,0.00023304473388417052,0.00027190861546194157,0.000992329570721054,2.0180365888893146
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_NN_64,reference_file,Momentum_y,0.11183435244046858,0.1760438402275986,1.3567444504181196,0.0038772224551160755,0.004507813768601944,0.010027965956700104,nan
Mixed,2,Asym,SecondOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_NN_128,reference_file,Momentum_y,0.0274800932594182,0.042783085720507756,0.4136350411650973,0.0009437384233323985,0.0010908871462538981,0.0030573293038829723,2.033833227358963
